RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
3123,Saint Clair County,Michigan,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,118800,119600,122000,126700,126100,125700,124200,124500,123100,128300,128100,126300,122100,125500,127200,124400,124400,127300,131000,125800,129300,131700,139400,138700,137500,136300,135000,135400,139100,138700,139500,134800,139100,146600,154400,153500,147700,140900,142700,140500,146900,149200,153800,153000,148100
2242,Davidson County,North Carolina,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107100,102200,103500,101200,100100,93000,91000,91400,93300,93600,98900,102700,107300,107700,107100,103600,97400,92200,91300,92100,106300,113800,118500,105100,101400,101700,100200,103400,107400,107500,106100,97000,108700,108600,115200,112900,112300,112000,112200,119000,117700,126800,123000,129700,121000,123000,119300,120200,119400,120200,122000,123300,126900,130100,135000,131000,131000,131200,134200,131100,129800,129300,129900,127800,125200,122400,122000,127000,129100,130300,127900,131700,133900,136200,135700,133000,132700,134400,137200,136800,133800,132000,134200,138900,143100,144700,143500,142100,144300,141400,140800,139400,144100,144900,141100,139500,138500,146400,145500,147100,145400,148500
395,Boone County,Missouri,354,139700,136600,136100,141000,143200,143500,149000,147800,146200,137300,144400,145400,150500,142600,140500,137900,138200,139900,139000,142800,139900,142300,140600,140600,138400,139800,141500,141100,137900,137400,134700,138500,146000,151700,160000,154600,151700,141400,143300,142200,141000,139600,141200,142700,147500,148800,154300,150400,151900,148300,152000,153600,151600,148200,148100,151500,153200,152900,152500,150600,148300,145900,148400,147900,149700,147300,148700,150200,152500,154300,153200,146100,146300,145600,150400,152000,155100,159600,159100,159600,160200,159400,161800,161200,163000,160300,162600,165600,166400,165300,161800,161200,161700,158700,157700,157600,164000,168200,168600,165300,162700,162900,166700,168500,170000,169800,169300,162200,160400,163100,169200,170900,168400,167300,169300,171900,171600,169700,180200,183900,186500,177000,175500,175400,177000,180800,180800,176700,173500,177400,182800,183600,183700,185400,191100,191900,190800,184300,191700,195400,200700,188300,193400
199,Kent County,Delaware,355,201200,199000,201500,202400,195900,194800,191900,197600,192200,196400,192100,194000,185800,184100,178500,185200,186600,189900,183400,183200,178600,186900,193400,193700,186600,183000,183300,181500,173500,167600,167300,166200,173700,173800,173000,161000,149500,147200,145100,149900,148100,154600,156300,152100,149100,153200,153900,150500,148300,160600,163900,160900,153400,156900,157200,165700,172100,171600,168700,162100,166600,161400,157100,159300,166900,175100,173100,171900,169300,167700,165800,168500,173300,175800,174300,170800,175400,173600,175700,171400,175100,178100,175900,174900,177900,182400,184700,184100,181300,183900,176700,176200,170600,174900,181500,192400,191400,198200,196800,204400,194400,187900,188000,183600,189000,187500,194800,192600,190100,189500,189800,187500,184900,186400,189700,193300,195300,196800,194400,190800,189700,191200,192100,192400,195600,196800,202500,203600,204800,203500,207100,210300,207100,199300,197000,200900,206400,215400,218600,221700,221200,220500,227100
2138,Beaufort County,South Carolina,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255800,254500,249300,246800,276600,280900,280400,248200,244500,244900,249900,248500,249700,251300,253100,252300,293600,297800,297800,259600,259000,259600,254100,255700,261400,263800,267600,268200,294600,297000,303700,286400,292800,286400,277500,271100,277800,292800,294600,301100,307500,311700,308700,293500,294300,284400,282800,277600,284600,298000,295800,301700,316700
1061,Greene County,Ohio,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,134400,131800,125300,129300,129000,121800,120100,114500,123600,122700,129200,128100,123500,125100,124300,131900,135800,131300,130200,121600,118600,115800,116800,126800,129700,133300,133400,133400,128900,127500,130900,131700,130900,127900,126700,130000,131600,133800,132500,132200,129100,123300,123900,126600,130800,128700,126900,127500,130900,134700,138600,141900,142700,144000,140400,145000,138800,146100,144900,150800,146700,147500,143500,141100,142400,146400,150700,144500,145100,145200,156800,158000,156000,147700,144600,145200,145500,149800,149500,144000,142700,141200,147500,146100,151300,149700,152300,152500,156700,160700,162800,168300,170900,171700,173800,169300,166600,163400,166900,167400,166600,160800,160500,152900,159400,153500,162800,163300,172000,173400,164400,161300,163100,169000,180600,
1975,Portage County,Ohio,358,142000,138500,133600,134100,129500,127500,126600,123900,123900,122200,120400,113100,105100,107200,107700,115200,114800,122000,121500,130200,130300,132500,130100,139800,144400,144500,134800,138100,128600,126400,117200,124700,128600,130900,121600,131800,125400,132700,124000,128400,124300,117800,116900,118500,118300,122500,127200,135900,130400,125300,114800,114900,115200,119900,121100,122700,134300,138400,132100,115900,110600,117400,123400,123700,124500,123200,135600,141500,140500,131600,122000,121600,122000,123700,122600,125100,125600,126800,125900,124400,130500,133600,142300,146900,147800,142700,135400,138900,142600,141600,139000,140000,141000,131900,136800,150900,154100,146900,134500,138600,142000,142800,140300,138200,135600,139400,141000,145900,148500,153600,155400,153400,152000,153400,150700,148800,144700,150300,154100,154600,152000,149900,149600,147000,145200,146800,158400,161800,166100,158000,156600,157600,158200,167000,165800,168100,158800,157900,156900,159000,157200,161400,177300
983,DeSoto County,Mississippi,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174000,175100,170900,168300,167200,167000,169700,169600,174800,173800,175900,175600,179700,180900,180000,182700,179500,180900,178300,181300,182200,185000,188100,190800,188700,188500,189700,192800,195200,191900,187500,183900,179000,184300,196700,205100
1407,Sumner County,Tennessee,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160200,163200,164700,162200,167600,171600,170900,166300,163700,171900,178500,181900,179300,178000,179800,179400,178700,179000,180100,180300,184700,183000,184400,175100,179500,181200,194300,202600,202400,201300,198600,206500,207900,208100,204100,204600,194500,197600,201800,211200,214300,210700,212900,212800,210600,214300,215100,221900,213000,212200,209700,220900,226600,232400,240100,236300,243900,244000,256700,260200,259400,259500,262500,263100,256700,249700,251800,258100,261900,265300,275800,276800
308,Rock County,Wisconsin,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106300,103000,107100,106400,106300,104500,103700,110700,112100,111100,105900,108400,116100,119000,115600,112700,112200,115500,115000,112700,113100,114600,117000,120100,132600,135200,133800,120000,120400,122400,127800,130100,131700,129900,130600,128300,128800,127400,128400,129200,128400,128800,126800,128700,132000,135200,136800,138700,150500,152000,151300,138700,139500,140900,147100,146100,143500,142600,139700,144100,151400,157700,155200,145200,146200,150000,156100,153600,150800,153000,158200,162900
